,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,ville,city
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,heures,hours
20,vont,will
21,revoir,meet again
22,aucune,any
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,voici,here is
28,affaire,case
29,donner,give
30,type,type
31,leurs,their
32,donné,given
33,train,train
34,corps,body
35,façon,way
36,écoute,listen
37,dont,whose
38,trouve,find
39,premier,first
40,perdu,lost
41,main,hand
42,côté,side
43,pouvoir,power
44,vieux,old
45,tiens,here
46,enfant,child
47,point,point
48,venu,came
49,suite,after
50,venez,come
51,minutes,minutes
52,demandé,request
53,chambre,bedroom
54,belle,beautiful
55,droit,law
56,aimerais,would like to
57,aujourd'hui,today
58,mari,husband
59,cause,cause
60,enfin,finally
61,espère,hope
62,eau,water
63,parti,left
64,boulot,job
65,arrêter,Stop
66,terre,Earth
67,compte,account
68,donne,given
69,fin,end
70,croire,believe
71,gros,large
72,plutôt,rather
73,aura,will have
74,jouer,to play
